"General.Location","n","longitude","latitude"
"2900 block of Wood Street",3,-93.6571486,42.0219425
"31 Frederiksen Court",3,-93.6420413,42.0345981
"317 Lynn Avenue",3,-93.646777,42.019605
"3200 block of Lincoln Way",3,-93.6599566,42.0224942
"33 Frederiksen Court",3,-93.640694,42.0346152
"3400 block of Lincoln Way",3,-93.6648334,42.0225512
"3510 Lincoln Way",3,-93.6661662,42.0224702
"3906 Maricopa Drive",3,-93.6693983,42.0083904
"4008 Maricopa Drive",3,-93.6708406,42.0080236
"4020 Maricopa Drive",3,-93.6715537,42.0080781
"4300 block of Maricopa Drive",3,-93.6740169,42.0085699
"4700 block of Steinbeck Street",3,-93.6829214,42.0147373
"4709 Steinbeck Street",3,-93.6830438,42.0149761
"4900 block of Mortensen Road",3,-93.6886363,42.0128357
"500 block of Stanton Avenue",3,-93.6484827,42.0179205
"510th Avenue and 260th Street",3,-93.6780539,41.9793759
"60 Schilletter Village",3,-93.6434037,42.0440331
"Arbor Street and Hyland Avenue",3,-93.6555561,42.0209196
"Ashmore Drive and Ashmore Circle",3,-93.6416872,42.010786
"Beach Avenue and Greenbriar Circle",3,-93.639397,42.0125416
"Beach Avenue and Indiangrass Court",3,-93.6397111,42.009656
"Beach Avenue and Mortensen Parkway",3,-93.6408246,42.008529
"Biorenewables Laboratory",3,-93.6519015,42.0274615
"Birch-Welch-Roberts",3,-93.6425636,42.0239302
"Bissell Road and Marston Court",3,-93.6519109,42.0272025
"BRL",3,-93.6519015,42.0274615
"C.Y. Stephens Auditorium",3,-93.6380161,42.0203208
"Chamberlain Streetn and Lynn Avenue",3,-93.6464356,42.0215381
"Cochrane Parkway and South Dakota Avenue",3,-93.678692,42.0171418
"Cyclone Plaza",3,-93.648229,42.021222
"Dickinson Avenue and Steinbeck Street",3,-93.6809282,42.0146647
"Donald Street and Stanton Avenue",3,-93.648495,42.01699
"Edenburn Drive and Long Road",3,-93.6430037,42.0428997
"Farm House Museum",3,-93.6439451,42.0271105
"Farmhouse Lane and Osborn Drive",3,-93.6437064,42.0288802
"Fredericksen Court",3,-93.6422748,42.0332422
"Grand Avenue and South 5th Street",3,-93.6201177,42.0258057
"Gray Avenue and Greeley Street",3,-93.6407056,42.0198054
"Hilton Colesium",3,-93.635074,42.022693
"Iowa State Center",3,-93.6375176,42.0213294
